"","R","G","B","x","y","type","imname","zoiCx","zoiCy"
"1",136,175,69,3238.06896551724,2575.91954022989,"G","100",3276,2115
"2",113,157,60,3234.62068965517,2537.98850574713,"G","100",3276,2115
"3",145,176,100,3226.57471264368,2492.01149425287,"G","100",3276,2115
"4",151,184,95,3231.1724137931,2439.13793103448,"G","100",3276,2115
"5",170,213,124,3239.2183908046,2364.42528735632,"G","100",3276,2115
"6",126,167,63,3281.74712643678,2283.96551724138,"G","100",3276,2115
"7",120,168,68,3382.89655172414,2325.34482758621,"G","100",3276,2115
"8",102,137,45,3438.06896551724,2331.09195402299,"G","100",3276,2115
"9",144,181,111,3533.47126436782,2404.65517241379,"G","100",3276,2115
"10",124,153,87,3548.41379310345,2372.47126436782,"G","100",3276,2115
"11",102,135,30,3640.36781609195,2393.16091954023,"G","100",3276,2115
"12",108,155,53,3630.02298850575,2341.4367816092,"G","100",3276,2115
"13",122,157,63,3619.67816091954,2310.40229885057,"G","100",3276,2115
"14",111,157,58,3593.24137931035,2287.41379310345,"G","100",3276,2115
"15",119,157,74,3639.2183908046,2264.42528735632,"G","100",3276,2115
"16",90,127,24,3659.90804597701,2255.22988505747,"G","100",3276,2115
"17",101,141,52,3673.70114942529,2243.73563218391,"G","100",3276,2115
"18",82,117,17,3676,2235.68965517241,"G","100",3276,2115
"19",141,179,104,3648.41379310345,2182.81609195402,"G","100",3276,2115
"20",130,165,83,3626.57471264368,2143.73563218391,"G","100",3276,2115
"21",156,195,104,3593.24137931035,2105.80459770115,"G","100",3276,2115
"22",125,161,63,3574.85057471264,2070.1724137931,"G","100",3276,2115
"23",84,122,49,3587.49425287356,2015,"G","100",3276,2115
"24",138,163,82,3624.27586206897,1971.32183908046,"G","100",3276,2115
"25",132,169,91,3663.35632183908,1980.51724137931,"G","100",3276,2115
"26",165,194,110,3562.20689655172,2017.29885057471,"G","100",3276,2115
"27",140,168,91,3562.20689655172,1913.85057471264,"G","100",3276,2115
"28",108,144,54,3639.2183908046,1878.2183908046,"G","100",3276,2115
"29",103,140,70,3682.89655172414,1898.90804597701,"G","100",3276,2115
"30",97,137,75,3586.34482758621,1867.87356321839,"G","100",3276,2115
"31",110,148,47,3643.81609195402,1803.50574712644,"G","100",3276,2115
"32",119,169,74,3667.95402298851,1802.35632183908,"G","100",3276,2115
"33",82,124,42,3623.12643678161,1812.70114942529,"G","100",3276,2115
"34",99,144,75,3692.09195402299,1706.95402298851,"G","100",3276,2115
"35",100,139,58,3723.12643678161,1718.44827586207,"G","100",3276,2115
